"LOCATION","TIME","Value"
"USA","2000-01",101.3953
"USA","2000-02",101.3298
"USA","2000-03",101.2315
"USA","2000-04",101.11
"USA","2000-05",100.96
"USA","2000-06",100.7906
"USA","2000-07",100.6028
"USA","2000-08",100.3819
"USA","2000-09",100.1248
"USA","2000-10",99.81455
"USA","2000-11",99.46094
"USA","2000-12",99.07918
"USA","2001-01",98.72934
"USA","2001-02",98.46049
"USA","2001-03",98.2868
"USA","2001-04",98.19991
"USA","2001-05",98.17339
"USA","2001-06",98.15052
"USA","2001-07",98.10569
"USA","2001-08",98.04189
"USA","2001-09",98.00101
"USA","2001-10",98.05522
"USA","2001-11",98.23116
"USA","2001-12",98.50665
"USA","2002-01",98.82489
"USA","2002-02",99.12585
"USA","2002-03",99.3518
"USA","2002-04",99.44518
"USA","2002-05",99.38594
"USA","2002-06",99.18291
"USA","2002-07",98.89056
"USA","2002-08",98.57841
"USA","2002-09",98.28885
"USA","2002-10",98.06087
"USA","2002-11",97.91023
"USA","2002-12",97.80914
"USA","2003-01",97.73553
"USA","2003-02",97.7009
"USA","2003-03",97.73885
"USA","2003-04",97.87727
"USA","2003-05",98.10921
"USA","2003-06",98.40655
"USA","2003-07",98.75435
"USA","2003-08",99.14119
"USA","2003-09",99.55515
"USA","2003-10",99.97459
"USA","2003-11",100.3655
"USA","2003-12",100.6934
"USA","2004-01",100.9404
"USA","2004-02",101.0881
"USA","2004-03",101.1563
"USA","2004-04",101.1581
"USA","2004-05",101.1142
"USA","2004-06",101.0344
"USA","2004-07",100.9249
"USA","2004-08",100.8025
"USA","2004-09",100.695
"USA","2004-10",100.6218
"USA","2004-11",100.5918
"USA","2004-12",100.5776
"USA","2005-01",100.5418
"USA","2005-02",100.4774
"USA","2005-03",100.396
"USA","2005-04",100.3347
"USA","2005-05",100.3201
"USA","2005-06",100.35
"USA","2005-07",100.3983
"USA","2005-08",100.4682
"USA","2005-09",100.575
"USA","2005-10",100.7315
"USA","2005-11",100.923
"USA","2005-12",101.108
"USA","2006-01",101.253
"USA","2006-02",101.3462
"USA","2006-03",101.3796
"USA","2006-04",101.3523
"USA","2006-05",101.2897
"USA","2006-06",101.2304
"USA","2006-07",101.1959
"USA","2006-08",101.2069
"USA","2006-09",101.2722
"USA","2006-10",101.3707
"USA","2006-11",101.4853
"USA","2006-12",101.6084
"USA","2007-01",101.7286
"USA","2007-02",101.8471
"USA","2007-03",101.9709
"USA","2007-04",102.0894
"USA","2007-05",102.1787
"USA","2007-06",102.2213
"USA","2007-07",102.2027
"USA","2007-08",102.1209
"USA","2007-09",102.0055
"USA","2007-10",101.8779
"USA","2007-11",101.7437
"USA","2007-12",101.6152
"USA","2008-01",101.4814
"USA","2008-02",101.3281
"USA","2008-03",101.1555
"USA","2008-04",100.9424
"USA","2008-05",100.6582
"USA","2008-06",100.2592
"USA","2008-07",99.71166
"USA","2008-08",99.00082
"USA","2008-09",98.14126
"USA","2008-10",97.19701
"USA","2008-11",96.29475
"USA","2008-12",95.53822
"USA","2009-01",94.99268
"USA","2009-02",94.69584
"USA","2009-03",94.66498
"USA","2009-04",94.88721
"USA","2009-05",95.28821
"USA","2009-06",95.79684
"USA","2009-07",96.35055
"USA","2009-08",96.90929
"USA","2009-09",97.44329
"USA","2009-10",97.9364
"USA","2009-11",98.38863
"USA","2009-12",98.80433
"USA","2010-01",99.16388
"USA","2010-02",99.43394
"USA","2010-03",99.6159
"USA","2010-04",99.69128
"USA","2010-05",99.67028
"USA","2010-06",99.59365
"USA","2010-07",99.52773
"USA","2010-08",99.52431
"USA","2010-09",99.59496
"USA","2010-10",99.72469
"USA","2010-11",99.906
"USA","2010-12",100.0986
"USA","2011-01",100.2598
"USA","2011-02",100.3531
"USA","2011-03",100.3421
"USA","2011-04",100.2256
"USA","2011-05",100.0176
"USA","2011-06",99.73845
"USA","2011-07",99.43954
"USA","2011-08",99.18961
"USA","2011-09",99.05982
"USA","2011-10",99.08298
"USA","2011-11",99.23521
"USA","2011-12",99.46138
"USA","2012-01",99.68711
"USA","2012-02",99.84805
"USA","2012-03",99.91734
"USA","2012-04",99.89857
"USA","2012-05",99.81327
"USA","2012-06",99.70155
"USA","2012-07",99.61653
"USA","2012-08",99.5836
"USA","2012-09",99.61578
"USA","2012-10",99.68896
"USA","2012-11",99.78637
"USA","2012-12",99.91251
"USA","2013-01",100.0588
"USA","2013-02",100.2073
"USA","2013-03",100.3347
"USA","2013-04",100.4549
"USA","2013-05",100.5738
"USA","2013-06",100.6683
"USA","2013-07",100.7245
"USA","2013-08",100.7537
"USA","2013-09",100.7647
"USA","2013-10",100.7665
"USA","2013-11",100.7678
"USA","2013-12",100.7589
"USA","2014-01",100.7445
"USA","2014-02",100.7576
"USA","2014-03",100.8015
"USA","2014-04",100.8587
"USA","2014-05",100.9132
"USA","2014-06",100.9598
"USA","2014-07",100.9893
"USA","2014-08",101.0042
"USA","2014-09",101.0033
"USA","2014-10",100.9752
"USA","2014-11",100.9238
"USA","2014-12",100.8451
"USA","2015-01",100.7455
"USA","2015-02",100.6371
"USA","2015-03",100.5294
"USA","2015-04",100.4254
"USA","2015-05",100.3156
"USA","2015-06",100.1945
"USA","2015-07",100.0329
"USA","2015-08",99.84364
"USA","2015-09",99.65855
"USA","2015-10",99.50788
"USA","2015-11",99.3832
"USA","2015-12",99.27185
"USA","2016-01",99.17865
"USA","2016-02",99.11655
"USA","2016-03",99.09569
"USA","2016-04",99.10058
"USA","2016-05",99.11667
"USA","2016-06",99.13175
"USA","2016-07",99.15694
"USA","2016-08",99.20707
"USA","2016-09",99.29433
"USA","2016-10",99.41796
"USA","2016-11",99.55742
"USA","2016-12",99.69236
"USA","2017-01",99.79878
"USA","2017-02",99.86906
"USA","2017-03",99.90939
"USA","2017-04",99.93367
"USA","2017-05",99.96219
"USA","2017-06",100.0035
"USA","2017-07",100.0545
"USA","2017-08",100.1328
"USA","2017-09",100.2309
"USA","2017-10",100.3356
"USA","2017-11",100.4323
"USA","2017-12",100.5223
"USA","2018-01",100.6176
"USA","2018-02",100.7134
"USA","2018-03",100.7801
"USA","2018-04",100.807
"USA","2018-05",100.8016
"USA","2018-06",100.7702
"USA","2018-07",100.7148
"USA","2018-08",100.633
"USA","2018-09",100.5047
"USA","2018-10",100.3311
"USA","2018-11",100.1378
"USA","2018-12",99.95415
"USA","2019-01",99.80085
"USA","2019-02",99.68435
"USA","2019-03",99.59672
"USA","2019-04",99.50861
"USA","2019-05",99.41288
"USA","2019-06",99.3142
"USA","2019-07",99.21872
"USA","2019-08",99.13801
"USA","2019-09",99.1011
"USA","2019-10",99.09805
"USA","2019-11",99.10062
"USA","2019-12",99.08285
"USA","2020-01",99.01617
"USA","2020-02",98.88946
"USA","2020-03",97.05176
"USA","2020-04",92.23092
"USA","2020-05",93.77561
"USA","2020-06",95.71313
"USA","2020-07",97.2706
"USA","2020-08",97.93082
"USA","2020-09",98.19913
"USA","2020-10",98.53953
"USA","2020-11",98.91795
"USA","2020-12",99.31595
"USA","2021-01",99.66631
"USA","2021-02",100.0159
"USA","2021-03",100.3094
"USA","2021-04",100.5365
"USA","2021-05",100.5609
"USA","2021-06",100.5146
"USA","2021-07",100.4166
"USA","2021-08",100.2987
"USA","2021-09",100.1972
"USA","2021-10",100.1204
"USA","2021-11",100.07
"USA","2021-12",100.0382
"USA","2022-01",100.0239
"USA","2022-02",100.0371
"USA","2022-03",100.0779
"USA","2022-04",100.1464
