"","년도월일","1종차량수","2종차량수"
"1","2013.02.08",2817606,116078
"2","2013.02.09",2961526,26330
"3","2013.02.10",3684051,7380
"4","2013.02.11",3148836,19137
"5","2013.02.12",2562503,82638
"6","2014.01.29",3023743,109203
"7","2014.01.30",3195831,28392
"8","2014.01.31",4052050,8044
"9","2014.02.01",3221213,15451
"10","2014.02.02",2662401,24693
"11","2015.02.17",3100001,114822
"12","2015.02.18",3444983,28761
"13","2015.02.19",4182694,7835
"14","2015.02.20",3601881,18572
"15","2015.02.21",2965021,38205
"16","2015.02.22",2558728,28853
"17","2016.02.05",2994281,130221
"18","2016.02.06",3045537,57564
"19","2016.02.07",3050143,16818
"20","2016.02.08",4291069,7677
"21","2016.02.09",3707196,17953
"22","2016.02.10",3053119,42498
"23","2017.01.26",3415825,101352
"24","2017.01.27",3470148,27152
"25","2017.01.28",4418645,7425
"26","2017.01.29",3508551,12234
"27","2017.01.30",3007858,37132
"28","2018.02.14",3278319,102719
"29","2018.02.15",95684,818
"30","2018.02.16",129543,193
"31","2018.02.17",100577,370
"32","2018.02.18",3094059,23855
"33","2019.02.01",2953288,114649
"34","2019.02.02",2943137,56160
"35","2019.02.03",2646942,22738
"36","2019.02.04",3118100,22513
"37","2019.02.05",4251956,7857
"38","2019.02.06",3527918,22222
"39","2019.02.07",2724194,91210
"40","2020.01.23",3559161,96764
"41","2020.01.24",158163,590
"42","2020.01.25",238876,185
"43","2020.01.26",4121907,13136
"44","2020.01.27",3020995,37358
